Raheem Aamodt, 1403 Military Trl, Scarborough ON, M1E 4E6, 1.79
Ryland Aamot, 52 Gwendolen Cres, North York ON, M2N 2L7, 1.82
Thaddeus Abadie, 67 Shelborne Ave, North York ON, M5N 1Y7, 4.53
Winston Abaloz, 111 Broadlands Blvd, North York ON, M3A 1K1, 2.21
Deedee Abarca, 51 Ashfield Dr, Etobicoke ON, M9C 4T9, 1.53
Pip Abatti, 1-2410 Midland Ave, Scarborough ON, M1S 1P9, 1.48
Michel Abaunza, 1226 Weston Rd, York ON, M6M 4P4, 7.25
Hong Abbadessa, 106 Galbraith Ave, East York ON, M4B 2B4, 8.26
Jose Abbas, 70 Dunedin Dr, Etobicoke ON, M8X 2K5, 2.1
Estrella Abbasi, 133-595 Bay St, Toronto ON, M5G 0A4, 0.0
Zig Abbasi, 18 Deanefield Cres, Etobicoke ON, M9B 3B3, 1.53
Daelyn Abbatiello, 501-1075 Queen St E, Toronto ON, M4M 0C1, 0.71
Shaneka Abbed, 67 South Dr, Toronto ON, M4W 1R7, 0.85
Tremaine Abbs, 21 Manaham Rd, Scarborough ON, M1E 3X9, 1.47
Tien Abdalla, 94 Wolfrey Ave, Toronto ON, M4K 1K8, 1.44
Rick Abdelmuti, 63 Weston Rd, Toronto ON, M6N 5H2, 4.35
Mica Abdelrahman, 18 Kitson Dr, Scarborough ON, M1M 3C8, 6.22
Deon Abdin, 44-15 Canlish Rd, Scarborough ON, M1P 1S7, 4.46
Andreas Abdo, 250 Scarborough Rd, Toronto ON, M4E 3M4, 0.76
Sapphire Abeb, 1709-180 Sudbury St, Toronto ON, M6J 0A8, 0.6
Mina Abedelah, 1111-77 Dunfield Ave, Toronto ON, M4S 2H3, 2.06
Tad Abee, 10 Colonial Ave, Scarborough ON, M1M 2C2, 2.17
Margot Abelar, 86 Shaftesbury Ave, Toronto ON, M4T 1A1, 0.88
Tinisha Abele, 445-155 Dalhousie St, Toronto ON, M5B 2N2, 4.95
Robert Abele, 104-291 George St, Toronto ON, M5A 2N3, 1.24
Doreen Abercombie, 156-24 Southport St, Toronto ON, M6S 4Z1, 2.46
Victor Abernatha, 34 Kawneer Ter, Scarborough ON, M1P 0C2, 0.81
Kamil Abide, 101-1715 Bathurst St, Toronto ON, M5P 3K4, 2.09
Uriel Able, 6 Tollington Rd, Etobicoke ON, M9R 2C7, 3.77
Kiara Ablin, 1001-132 Berkeley St, Toronto ON, M5A 0H6, 2.1
Raiden Abnet, 22 McClinchy Ave, Etobicoke ON, M8X 2J1, 0.76
Manny Abolafia, 67 Glengowan Rd, Toronto ON, M4N 1E8, 0.65
Reef Aboud, 1106-24 Eva Rd, Etobicoke ON, M9C 2B2, 2.27
Freeda Abrahamian, 134 Horsham Ave, North York ON, M2R 1G4, 4.68
Cat Abrahamsen, 111 Garnet Ave, Toronto ON, M6G 1V6, 3.8
Tamala Abramian, 401-25 Warrender Ave, Etobicoke ON, M9B 5Z4, 3.45
Tyra Abramian-Albarado, 501-65 Skymark Dr, North York ON, M2H 3N9, 7.79
Dewey Abramov, 204-80 Cumberland St, Toronto ON, M5R 1A8, 0.0
Shonagh Abrantes, 705-3391 Bloor St W, Etobicoke ON, M8X 1G3, 5.26
Sophy Abreo, 27 Ambleside Ave, Etobicoke ON, M8Z 2H6, 4.63
Willis Abrev, 72 Dewhurst Blvd, Toronto ON, M4J 3J3, 1.64
Maria Abruzzo, 418-10 Willowridge Rd, Etobicoke ON, M9R 3Y8, 3.78
Penelope Absalon, 405 Patricia Ave, North York ON, M2M 1H8, 4.37
Aisha Accardi, 31 Ellsworth Ave, Toronto ON, M6G 2K4, 1.73
Padraig Accardo, 10 Crocus Dr, Scarborough ON, M1R 4S6, 10.21
Letitia Accola-Merk, 300-40 Scollard St, Toronto ON, M5R 1G1, 1.61
Aloysius Accornero, 11 Picola Crt, North York ON, M2H 2N4, 6.44
Guadalupe Achane, 108-4001 Don Mills Rd, North York ON, M2H 3J8, 5.9
Ren Acheampong, 162 Goldhawk Trl, Scarborough ON, M1V 1W6, 6.22
Jasmin Achenbach-Kaupp, 46 Husband Dr, North York ON, M9L 1J7, 6.13
Kim Achilles, 54 Golfdale Rd, Toronto ON, M4N 2B5, 4.53
Jeffrey Acierno, 309-40 Glen Rd, Toronto ON, M4W 2X4, 5.94
Mai Acken, 114 Gradwell Dr, Scarborough ON, M1M 2N1, 4.82
Dinah Ackerly, 17 Minnowburn St, Scarborough ON, M1T 1Y7, 7.54
Glen Ackermann, 805-20 Collier St, Toronto ON, M4W 3Y4, 4.76
Peregrine Ackies, 365 Strathmore Blvd, Toronto ON, M4C 1N4, 4.4
Sau Ackley, 1407-1105 Leslie St, North York ON, M2H 1J8, 1.44
Donya Ackman, 13 Silverton Ave, North York ON, M3H 3E6, 4.17
Jase Ackroyd, 7 Northey Dr, North York ON, M2L 2S8, 0.78
Ladawn Acrey, 15 Crocker Ave, Toronto ON, M6J 1K7, 3.54
Anton Acuna, 60 Purpledusk Trl, Scarborough ON, M1E 4C9, 5.18
Kelsey Adam, 108 Marbury Cres, North York ON, M3A 2G3, 6.73
Kayla Adamcik, 240 Keele St, Toronto ON, M6N 3E4, 3.96
Benjy Adamis, 119 Summerhill Ave, Toronto ON, M4T 1B1, 0.67
Clair Adamos, 39 Bernard Ave, Toronto ON, M5R 1R3, 2.27
Davin Adams, 9 Polo Pl, Scarborough ON, M1B 4T8, 7.85
Daina Adan, 43 Kidbrooke Cres, Scarborough ON, M1M 3E4, 4.55
Sharleen Adcock, 9-348 Spadina Ave, Toronto ON, M5V 2H8, 2.52
Seth Addo, 31 Balsam Ave, Toronto ON, M4E 3B4, 0.68
Tova Adebisi, 6 Shelborne Ave, North York ON, M5N 1Y7, 3.62
Conor Adee, 129-1996 Bathurst St, York ON, M5P 3L1, 2.21
Traci Adel, 1107-1135 Royal York Rd, Etobicoke ON, M9A 0C3, 0.71
Kerrie Adelgren, 12 Laureleaf Rd S, North York ON, M2M 3A2, 1.87
Dorris Adelmund, 11 Lippincott St W, York ON, M9N 1B4, 3.94
Bay Aderman, 140B Simpson Ave, Etobicoke ON, M8Z 1E1, 4.35
Cai Aderman, 80 Greenock Ave, Scarborough ON, M1G 2Z7, 10.09
Mordecai Adib, 804-10 Glen Everest Rd, Scarborough ON, M1N 1J3, 1.28
Augustina Adjutant, 206-4141 Yonge St, North York ON, M2P 2E3, 6.27
Rachelle Adjutant, 135 Virginia Ave, East York ON, M4C 2T3, 7.93
Arnoldo Adkin, 707-7 Sudbury St, Toronto ON, M6J 3W6, 0.81
Gill Adle, 7 Martorino Dr, Scarborough ON, M1K 2J1, 9.52
Olen Adloff, 2-1737 Keele St, York ON, M6M 3W7, 4.42
Merick Adomaitis, 25 Gort Ave, Etobicoke ON, M8W 3Y8, 1.62
Tillie Adrovel, 129-88 Humber College Blvd, Etobicoke ON, M9V 1P6, 4.12
Leo Adrovel, 35 St Lawrence St, Toronto ON, M5A 3C5, 1.36
Tiberius Adu, 228 Island Rd, Scarborough ON, M1C 2P8, 2.29
Kieran Aeling, 907-133 Wynford Dr, North York ON, M3C 0J5, 11.22
Ali Aeling, 907-133 Wynford Dr, North York ON, M3C 0J5, 15.62
Cathalina Aery, 73 Claremore Ave, Scarborough ON, M1N 3R9, 4.51
Lissa Aeschliman, 135 Ernest Ave, North York ON, M2J 3T7, 9.31
Saran Aeschlimann, 61 Manitoba St, Etobicoke ON, M8Y 1C8, 1.47
Amberlyn Afalava, 22 Uxbridge Ave, Toronto ON, M6N 2Y2, 4.28
Tajuana Affagato, 26 Timbercreek Crt, Scarborough ON, M1W 3Z9, 2.44
